Ticker,NCTId,ResultsFirstPostDate,CompletionDate,BuyPrice,SellPrice,PercentDiff
AMGN,NCT04191616,"November 8, 2023","October 1, 2024",269.03,263.17,-0.55
AMGN,NCT04057937,"January 6, 2022","June 7, 2021",214.16,215.45,0.15
AMGN,NCT03934684,"January 2, 2024","June 24, 2025",298.36,300.65,0.19
AMGN,NCT03930186,"January 20, 2022","September 25, 2020",210.17,206.88,-0.39
AMGN,NCT03927144,"October 25, 2022","September 30, 2022",253.98,260.79,0.66
AMGN,NCT03912337,"July 20, 2022","July 28, 2021",233.10,232.46,-0.07
AMGN,NCT03836053,"January 5, 2024","April 21, 2022",301.13,302.13,0.08
AMGN,NCT03822078,"July 24, 2019","December 24, 2004",152.14,151.77,-0.06
AMGN,NCT03818607,"May 23, 2023","July 12, 2022",216.14,211.85,-0.50
AMGN,NCT03812224,"March 4, 2021","November 25, 2020",206.95,208.91,0.23
AMGN,NCT03809663,"March 10, 2022","December 22, 2020",214.91,217.22,0.27
AMGN,NCT03783026,"December 19, 2022","May 11, 2022",258.37,251.29,-0.70
AMGN,NCT03777436,"December 15, 2022","February 9, 2022",254.81,255.34,0.05
AMGN,NCT03774875,"January 13, 2022","November 3, 2021",215.03,211.70,-0.39
AMGN,NCT03747939,"January 5, 2024","July 5, 2023",301.13,302.13,0.08
AMGN,NCT03721172,"May 17, 2021","July 24, 2020",226.65,218.23,-0.95
AMGN,NCT03701763,"December 7, 2023","March 27, 2023",270.03,279.44,0.86
AMGN,NCT03638128,"December 20, 2022","March 28, 2022",255.34,253.10,-0.22
AMGN,NCT03570697,"November 24, 2021","January 21, 2021",203.82,206.85,0.37
AMGN,NCT03512353,"January 8, 2021","January 16, 2020",223.88,227.27,0.38
AMGN,NCT03476239,"September 14, 2020","April 8, 2021",217.82,217.28,-0.06
